x,y,xvel,yvel
-1742,2150,-90,-260
-1741,2150,-104,-263
-1740,2150,87,108
-1739,2151,-43,-95
-1738,2151,313,25
-1736,2151,305,-258
-1735,2151,295,-288
-1734,2151,94,39
-1733,2151,291,-327
-1732,2150,-11,-176
-1731,2149,80,-363
-1730,2148,108,-191
-1730,2148,83,-168
-1730,2147,50,-132
-1729,2146,48,-370
-1729,2146,44,-362
-1729,2145,44,-362
-1729,2145,44,-362
-1729,2144,44,-362
-1728,2144,44,-362
-1728,2143,44,-362
-1728,2142,41,-360
-1728,2142,19,-334
-1728,2142,10,-299
-1728,2142,5,-279
-1728,2141,3,-269
-1728,2141,1,-263
-1728,2141,-294,12
-1728,2142,-525,-74
-1730,2143,-573,116
-1731,2143,79,-375
-1729,2142,227,-298
-1728,2142,-321,87
-1729,2143,-516,-102
-1730,2143,-141,-116
-1730,2143,-10,-364
-1728,2143,256,-624
-1728,2142,-349,-313
-1729,2142,-527,92
-1730,2142,-148,-260
-1730,2142,282,-211
-1728,2141,193,-269
-1727,2141,26,71
-1726,2142,310,-32
-1724,2142,210,63
-1723,2143,-52,-41
-1721,2144,-45,-47
-1720,2145,-46,-48
-1719,2146,-46,-48
-1718,2147,-46,-48
-1717,2148,-46,-48
-1716,2149,-46,-48
-1716,2150,26,34
-1715,2150,-98,68
-1714,2150,-33,-258
-1713,2150,-57,-275
-1712,2150,-62,-282
-1711,2150,66,44
-1711,2150,261,-272
-1709,2150,275,-158
-1708,2149,-1,-196
-1707,2148,-32,-232
-1706,2147,-262,-319
-1706,2146,-164,-264
-1708,2146,-553,47
-1708,2146,30,-165
-1708,2145,91,-225
-1706,2145,62,84
-1705,2146,-17,-5
-1704,2147,126,300
-1703,2148,82,-47
-1703,2149,-265,-128
-1702,2149,30,103
-1701,2150,-34,-76
-1700,2150,274,11
-1699,2150,263,-270
-1698,2150,256,-285
-1697,2150,72,48
-1696,2150,-8,-270
-1695,2149,-64,-137
-1694,2149,-97,-197
-1693,2147,107,-223
-1693,2146,-319,-187
-1694,2146,-212,-343
-1695,2146,-628,23
-1696,2145,-299,-178
-1696,2144,154,-337
-1694,2144,325,-262
-1693,2144,-7,35
-1691,2144,-24,43
-1690,2144,-63,45
-1689,2145,-83,48
-1688,2145,69,105
-1688,2146,-89,-6
-1687,2147,278,-115
-1685,2148,276,-122
-1684,2148,276,125
-1683,2149,-96,-82
-1682,2149,117,-119
-1681,2150,271,5
-1680,2150,-6,-275
-1679,2150,-26,-311
-1678,2149,46,13
-1677,2149,-4,-317
-1676,2148,266,-186
-1675,2147,-4,-213
-1674,2146,-21,-237
-1673,2145,-282,-309
-1674,2146,-211,83
-1675,2146,-196,11
-1675,2145,109,-227
-1674,2144,187,-352
-1672,2144,22,91
-1672,2144,261,28
-1671,2144,-32,43
-1670,2145,-56,46
-1669,2145,-70,42
-1668,2145,123,55
-1667,2145,-122,63
-1667,2146,-126,60
-1666,2146,127,64
-1665,2146,124,64
-1665,2147,106,54
-1920,2147,113,56
-1920,2147,91,48
-1919,2147,86,43
-1919,2148,80,38
-1919,2148,83,41
-1918,2148,125,-22
-1917,2150,267,-88
-1916,2150,265,-117
-1915,2151,265,95
-1914,2151,14,67
-1913,2152,267,76
-1912,2152,-79,-274
-1911,2152,-69,-305
-1910,2151,-60,-338
-1909,2151,-74,-366
-1908,2151,317,14
-1906,2150,308,-233
-1905,2149,258,-522
-1904,2148,-31,-533
-1903,2147,-276,-308
-1903,2147,-211,59
-1905,2147,-537,58
-1905,2147,21,-135
-1905,2146,104,-225
-1904,2146,122,-117
-1902,2147,277,338
-1901,2148,164,-127
-1900,2150,-320,-120
-1900,2150,-311,-119
-1900,2151,55,95
-1899,2151,-3,-90
-1898,2152,318,7
-1896,2152,303,-287
-1895,2151,116,-293
-1894,2151,-47,-347
-1893,2151,-61,47
-1892,2151,300,-159
-1891,2150,302,-212
-1889,2149,266,-226
-1888,2147,0,-315
-1889,2147,-207,68
-1890,2148,-529,98
-1891,2148,-260,-375
-1890,2147,103,-240
-1889,2147,-115,-50
-1888,2148,-50,379
-1887,2150,271,71
-1887,2151,-291,-119
-1887,2151,-298,-125
-1887,2152,120,37
-1886,2153,-12,-65
-1885,2153,268,8
-1884,2153,-42,-302
-1882,2153,-10,-382
-1881,2152,-117,86
-1880,2152,355,-313
-1878,2151,305,-532
-1877,2150,265,-537
-1876,2148,-24,-552
-1875,2147,-46,-561
-1875,2147,-132,51
-1876,2147,-248,-88
-1877,2148,-144,5
-1877,2147,125,-194
-1876,2146,52,-124
-1874,2148,351,334
-1873,2149,229,48
-1872,2150,80,-60
-1872,2150,-296,125
-1872,2151,42,90
-1871,2151,-39,-101
-1870,2152,288,-257
-1868,2152,267,-290
-1867,2151,256,-317
-1866,2151,-123,-309
-1865,2151,292,-291
-1864,2150,261,-185
-1863,2149,-17,-214
-1862,2148,-42,-221
-1861,2147,-54,-230
-1860,2147,-125,-363
-1859,2146,89,-547
-1859,2144,72,-585
-1859,2142,36,-628
-1858,2141,-122,-291
-1858,2140,11,-576
-1859,2138,-137,-226
-1860,2137,-241,-222
-1861,2136,-521,-157
-1863,2136,-609,-159
-1864,2134,-559,-536
-1866,2133,-441,-156
-1868,2133,-454,-358
-1870,2132,-497,-315
-1873,2132,-492,9
-1876,2132,-700,105
-1879,2133,-666,-83
-1882,2134,-786,-66
-1885,2135,-497,257
-1887,2137,-802,157
-1890,2139,-510,186
-1892,2142,-475,554
-1894,2144,-583,537
-1896,2147,-515,555
-1897,2150,-198,551
-1898,2153,-132,584
-1898,2156,-312,388
-1898,2159,-274,602
-1898,2162,10,406
-1898,2165,34,457
-1898,2169,53,471
-1898,2173,70,458
-1897,1920,55,483
-1897,1924,48,494
-1897,1928,119,505
-1896,1932,80,393
-1896,1934,-324,379
-1897,1935,-175,-37
-1897,1936,64,101
-1897,1937,-318,-25
-1897,1938,-330,-86
-1898,1939,-373,-72
-1898,1940,-384,-24
-1899,1941,-370,339
-1899,1943,-308,354
-1900,1945,6,351
-1899,1947,27,343
-1900,1948,-193,-59
-1901,1949,-312,142
-1901,1951,-299,366
-1901,1953,-284,307
-1901,1954,33,83
-1901,1955,76,-12
-1901,1956,-293,268
-1901,1958,-115,-10
-1900,1959,-36,-12
